ID,school,creche,gender,date,asidlale,echs,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,read_book,score14
535,Mabane,none,M,2018/01/24,0,0,2018,3,,1,2,1,1,3,1,,,1,1,,,1,1,2,2,1,21
536,Mabane,none,M,2018/01/24,0,0,2018,3,,1,2,1,2,2,1,,,1,1,,,1,3,2,1,1,22
537,Mabane,none,M,2018/01/24,0,0,2018,1,,1,,1,2,1,1,,,3,1,,,1,3,1,2,1,19
538,Sweetwaters,none,F,2018/01/25,0,0,2018,1,,3,2,3,1,3,1,,,3,1,,,1,3,1,3,3,29
539,Sweetwaters,none,F,2018/01/25,0,0,2018,2,,3,2,3,3,2,1,,,2,3,,,2,3,1,2,3,32
540,Sweetwaters,none,F,2018/01/25,0,0,2018,1,,3,2,3,1,3,1,,,2,1,,,1,3,1,2,3,27
541,Sweetwaters,none,F,2018/01/25,0,0,2018,1,,3,2,3,2,3,1,,,3,1,,,2,3,1,2,3,30
542,Sweetwaters,none,M,2018/01/25,0,0,2018,2,,3,2,3,3,2,1,,,1,1,,,1,3,1,2,3,28
543,Sweetwaters,none,M,2018/01/25,0,0,2018,1,,2,1,1,1,2,1,,,1,1,,,1,3,1,1,1,18
544,Sweetwaters,none,M,2018/01/25,0,0,2018,1,,3,3,3,2,3,3,,,2,3,,,3,3,2,1,1,33
545,Mbubu,Mbubu,M,2018/01/26,0,0,2018,3,,3,3,3,3,2,2,,,1,3,,,2,3,1,3,2,34
546,Mbubu,none,M,2018/01/26,0,0,2018,2,,3,2,3,3,3,2,,,1,3,,,3,3,1,3,2,34
547,Mbubu,none,M,2018/01/26,0,0,2018,2,,3,2,3,1,3,1,,,1,3,,,2,3,3,2,2,31
548,Mbubu,none,M,2018/01/26,0,0,2018,2,,3,3,2,1,3,2,,,2,1,,,1,3,1,2,1,27
549,Mbubu,none,M,2018/01/26,0,0,2018,3,,3,3,3,3,3,2,,,3,3,,,3,3,2,2,3,39
550,Mbubu,Bantu,M,2018/01/26,0,0,2018,3,,3,3,3,2,3,1,,,2,3,,,3,3,1,2,3,35
551,Mbubu,none,M,2018/01/26,0,0,2018,2,,3,3,3,2,3,3,,,3,1,,,3,3,1,2,3,35
552,Mbubu,Bantu,M,2018/01/26,0,0,2018,1,,3,2,3,1,3,3,,,2,1,,,1,3,1,3,3,30
553,Mbubu,none,M,2018/01/26,0,0,2018,1,,3,1,1,1,3,1,,,2,1,,,2,3,1,2,3,25
554,Mbubu,none,M,2018/01/26,0,0,2018,1,,3,1,1,2,3,1,,,2,3,,,1,3,1,1,1,24
555,Mbubu,none,F,2018/01/26,0,0,2018,3,,3,3,3,3,3,1,,,3,3,,,3,3,2,3,1,37
556,Mbubu,none,F,2018/01/26,0,0,2018,3,,3,2,3,2,3,1,,,1,3,,,3,3,1,2,3,33
557,Mbubu,none,F,2018/01/26,0,0,2018,2,,3,1,3,1,3,1,,,3,3,,,1,3,2,1,1,28
558,Mbubu,Mbubu,F,2018/01/26,0,0,2018,2,,3,1,3,2,3,1,,,3,2,,,1,2,1,3,3,30
