ID,school,creche,gender,asidlale,age_months,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,score14
261,Mabane,none,F,0,54,2016,1,,3,2,1,1,3,1,,,3,1,1,,1,3,1,2,24
262,Mabane,none,F,0,65,2016,1,,3,3,1,1,1,1,,,2,1,1,,1,1,1,1,19
263,Mabane,Thanduxolo,F,0,57,2016,3,,2,3,3,3,3,1,,,3,2,3,,1,3,2,3,35
264,Mabane,none,F,0,57,2016,2,,3,3,3,2,3,1,,,2,3,1,,2,3,1,1,30
265,Mabane,none,F,0,55,2016,1,,3,2,3,2,2,1,,,1,1,1,,1,3,1,1,23
266,Mabane,none,F,0,61,2016,1,,3,2,3,3,3,1,,,1,3,1,,1,3,2,3,30
267,Mabane,none,F,0,63,2016,3,,3,2,3,3,3,1,,,1,3,2,,1,3,1,3,32
268,Mabane,none,F,0,54,2016,1,,3,2,3,2,2,1,,,3,3,2,,1,1,1,2,27
269,Mabane,none,M,0,59,2016,3,,1,1,2,3,3,1,,,2,3,1,,1,3,1,3,28
270,Mabane,none,M,0,57,2016,2,,2,2,2,3,3,1,,,1,2,1,,1,1,2,1,24
271,Mabane,none,M,0,65,2016,1,,1,2,3,3,3,1,,,2,3,1,,1,3,1,3,28
272,Mabane,none,M,0,59,2016,3,,3,2,3,3,3,1,,,3,3,1,,2,3,1,3,34
273,Mabane,none,M,0,53,2016,2,,1,2,3,1,3,1,,,1,3,3,,1,1,1,2,25
274,Mabane,Mpumuza,M,0,65,2016,2,,2,2,3,1,3,1,,,1,1,2,,1,1,1,2,23
275,Mabane,none,M,0,56,2016,2,,3,2,3,2,2,1,,,2,3,2,,1,3,1,2,29
276,Mabane,none,M,0,54,2016,1,,1,1,3,3,2,1,,,1,1,1,,1,3,1,1,21
