ID,school,creche,gender,asidlale,age_months,year,cut,stick,follow_instruct,self_pic,matching,draw_lines,hop,playdough,wooden_puzz,six_puzz,clapping,classification,lacing,peg_cards,five_puzz,dance_freeze,laminated_shape,beanbag,score14
120,Mabane,Unakekelo,F,1,59,2015,2,,1,3,3,3,3,1,,,2,3,2,,1,3,3,3,33
121,Mabane,Unakekelo,F,1,58,2015,2,,2,3,3,3,3,2,,,3,3,2,,1,1,2,3,33
122,Mabane,Sbukosezwe,F,1,57,2015,2,,3,2,3,2,3,2,,,3,3,3,,1,3,1,3,34
123,Mabane,Sbukosezwe,F,1,60,2015,3,,3,3,3,3,3,2,,,2,3,2,,1,3,1,2,34
124,Mabane,Sbukosezwe,F,1,56,2015,1,,3,1,1,1,2,1,,,2,1,2,,1,3,1,1,21
125,Mabane,Sbukosezwe,F,1,60,2015,2,,3,2,3,3,3,3,,,2,3,2,,2,1,2,2,33
126,Mabane,Sbukosezwe,F,1,54,2015,1,,3,3,3,3,3,3,,,3,3,3,,1,1,1,1,32
127,Mabane,Unakekelo,F,1,60,2015,2,,3,3,3,3,3,2,,,3,1,2,,1,3,3,3,35
128,Mabane,Sbukosezwe,M,1,58,2015,3,,3,2,3,3,3,3,,,3,3,3,,2,1,2,1,35
129,Mabane,Sbukosezwe,M,1,65,2015,2,,3,2,3,3,3,2,,,3,3,2,,1,3,2,1,33
130,Mabane,Sbukosezwe,M,1,64,2015,3,,3,2,3,3,3,2,,,3,1,2,,2,3,1,3,34
131,Mabane,Sbukosezwe,M,1,60,2015,3,,3,2,3,3,3,2,,,3,3,2,,1,1,1,3,33
132,Mabane,Sbukosezwe,M,1,58,2015,3,,3,3,3,3,3,3,,,2,2,3,,1,3,1,3,36
133,Mabane,Unakekelo,M,1,57,2015,2,,3,2,2,3,3,2,,,1,1,2,,1,3,2,3,30
134,Mabane,Sbukosezwe,M,1,49,2015,2,,3,3,3,3,3,2,,,3,3,2,,1,3,1,2,34
135,Mabane,Unakekelo,M,1,51,2015,2,,1,2,3,2,3,1,,,3,1,2,,1,1,1,2,25
136,Mabane,Sbukosezwe,M,1,61,2015,3,,3,3,3,3,3,3,,,3,3,3,,1,3,1,1,36
137,Mabane,Unakekelo,M,1,58,2015,2,,3,2,3,3,3,2,,,3,1,3,,1,3,1,3,33
138,Nobanda,KwaNomusa,F,1,57,2015,3,,3,3,3,3,3,3,,,2,3,3,,3,3,2,2,39
139,Nobanda,KwaNomusa,F,1,59,2015,3,,3,2,3,3,3,1,,,3,3,3,,3,3,2,2,37
140,Nobanda,Raphs,F,1,51,2015,2,,3,3,3,3,3,3,,,3,3,3,,1,3,2,1,36
141,Nobanda,KwaNomusa,F,1,,2015,3,,3,3,3,3,3,3,,,3,3,3,,3,3,3,1,40
142,Nobanda,Raphs,F,1,57,2015,2,,3,3,3,1,3,1,,,3,3,2,,2,3,2,1,32
143,Nobanda,Raphs,F,1,60,2015,2,,3,3,3,3,3,2,,,2,3,2,,1,3,2,1,33
144,Nobanda,KwaNomusa,F,1,60,2015,2,,3,3,3,3,3,3,,,1,3,2,,2,3,2,1,34
145,Nobanda,KwaNomusa,F,1,61,2015,3,,2,3,3,3,3,2,,,3,3,2,,2,3,2,2,36
146,Nobanda,Raphs,F,1,59,2015,3,,3,3,3,3,3,2,,,3,3,3,,3,3,2,2,39
147,Nobanda,KwaNomusa,M,1,58,2015,2,,2,3,3,3,3,3,,,3,3,2,,1,3,2,3,36
148,Nobanda,Raphs,M,1,58,2015,3,,3,3,3,3,3,3,,,1,3,2,,1,3,2,3,36
149,Nobanda,KwaNomusa,M,1,66,2015,3,,3,3,3,3,3,3,,,3,3,3,,1,3,2,3,39
150,Nobanda,KwaNomusa,M,1,60,2015,1,,1,2,3,3,3,1,,,2,1,2,,1,3,2,2,27
151,Nobanda,Raphs,M,1,58,2015,2,,3,2,3,3,3,1,,,2,3,3,,1,3,2,3,34
